common_name,scientific_name,category
Blotchside Logperch,Percina burtoni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blotchy Mantleslug,Megapallifera wetherbyi,Terrestrial Snails
Blue Catfish,Ictalurus furcatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blue Ghost Firefly,Phausis reticulata,Fireflies and Glow-worms
Blue Grosbeak,Passerina caerulea,Birds
Blue Jay,Cyanocitta cristata,Birds
Blue Mason Bee,Osmia caerulescens,Mason Bees
Blue Orchard Bee,Osmia lignaria,Mason Bees
Blue Ridge Dusky Salamander,Desmognathus orestes,Amphibians
Blue Ridge Sallfly,Alloperla stipitata,Stoneflies
Blue Ridge Sculpin,Cottus caeruleomentum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blue Ridge Springsnail,Fontigens orolibas,Freshwater Snails
Blue Ridge Stygobromid,Stygobromus spinosus,Amphipods
Blue Ridge Two-Lined Salamander,Eurycea wilderae,Amphibians
Blue-Fronted Dancer,Argia apicalis,Dragonflies and Damselflies
Blue-Gray Gnatcatcher,Polioptila caerulea,Birds
Blue-Headed Vireo,Vireo solitarius,Birds
Blue-Ringed Dancer,Argia sedula,Dragonflies and Damselflies
Blue-Tipped Dancer,Argia tibialis,Dragonflies and Damselflies
Blue-Winged Teal,Spatula discors,Birds
Blue-Winged Warbler,Vermivora cyanoptera,Birds
Blueback Herring,Alosa aestivalis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blueberry Budworm Moth,Abagrotis anchocelioides,Other Moths
Blueberry Gray,Glena cognataria,Other Moths
Bluebreast Darter,Nothonotus camurus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bluegill,Lepomis macrochirus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bluegrass Snaggletooth,Gastrocopta clappi,Terrestrial Snails
Bluehead Chub,Nocomis leptocephalus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blueridge Snowfly,Allocapnia stannardi,Stoneflies
Blueridge Springfly,Remenus kirchneri,Stoneflies
Blueridge Stone,Perlesta frisoni,Stoneflies
Blueside Darter,Etheostoma jessiae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blueside Shiner,Lythrurus ardens,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bluespar Darter,Etheostoma meadiae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bluespotted Sunfish,Enneacanthus gloriosus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bluff Coil,Helicodiscus enneodon,Terrestrial Snails
Bluish Saddle-Case Caddisfly,Glossosoma lividum,Caddisflies
Blunt Ambersnail,Oxyloma retusum,Terrestrial Snails
Bluntnose Minnow,Pimephales notatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Boat-Tailed Grackle,Quiscalus major,Birds
Bobcat,Lynx rufus,Mammals
Bobolink,Dolichonyx oryzivorus,Birds
Bog Glyph Moth,Deltote bellicula,Other Moths
Bog Turtle,Glyptemys muhlenbergii,Turtles
Bold-Based Zale Moth,Zale lunifera,Other Moths
Bonaparte'S Gull,Chroicocephalus philadelphia,Birds
Booted Trumpet-Net Caddisfly,Cernotina calcea,Caddisflies
Bordered Apamemoth,Apamea sordens,Other Moths
Bordered Long-Horned Caddisfly,Triaenodes marginatus,Caddisflies
Boreal Burying Beetle,Nicrophorus defodiens,Other Beetles
Boreal Fan Moth,Brachionycha borealis,Other Moths
Boreal Stone,Acroneuria lycorias,Stoneflies
Boreal Stripetail,Isoperla transmarina,Stoneflies
Borer Moth,Bellura anoa,Other Moths
Boston Dart,Euxoa bostoniensis,Other Moths
Bottle Hornsnail,Pleurocera gradata,Freshwater Snails
Bottleneck Snaggletooth Snail,Gastrocopta contracta,Terrestrial Snails
Bottlenose Dolphin,Tursiops truncatus,Mammals
Bowfin,Amia calva,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Brachycentrid Caddisfly,Adicrophleps hitchcocki,Caddisflies
Bracken Borer Moth,Papaipema pterisii,Papaipema Moths
Bradley'S Prong-Gilled Mayfly,Leptophlebia bradleyi,Mayflies
Brahminy Blindsnake,Indotyphlops braminus,Reptiles
Brant,Branta bernicla,Birds
Brick-Red Borer Moth,Papaipema marginidens,Papaipema Moths
Bridgham'S Brocade Moth,Oligia bridghamii,Other Moths
Bridle Shiner,Notropis bifrenatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bridled Tern,Onychoprion anaethetus,Birds
Bright Glyph Snail,Glyphyalinia wheatleyi,Terrestrial Snails
Bright Pitot-Tube Caddisfly,Phylocentropus lucidus,Caddisflies
Brilliant Glyph,Glyphyalinia praecox,Terrestrial Snails
Brilliant Granule Snail,Guppya sterkii,Terrestrial Snails
Brimley'S Chorus Frog,Pseudacris brimleyi,Amphibians
Bristled Slitmouth Snail,Stenotrema barbatum,Terrestrial Snails
Bristly Cutworm Moth,Lacinipolia renigera,Other Moths
Broad Sallow Moth,Xylotype capax,Other Moths
Broad-Banded Forestsnail,Allogona profunda,Terrestrial Snails
Broad-Handed Leafcutter Bee,Megachile latimanus,Leafcutter Bees
Broad-Headed Skink,Plestiodon laticeps,Reptiles
Broad-Lined Erastria,Erastria coloraria,Other Moths
Broad-Winged Bizarre Caddisfly,Lepidostoma latipenne,Caddisflies
Broad-Winged Hawk,Buteo platypterus,Birds
Broad-Winged Skipper,Poanes viator,Butterflies and Skippers
Brocade Moth,Oligia chlorostigma,Other Moths
Broken Trumpet-Net Caddisfly,Holocentropus interruptus,Caddisflies
Bronze Copper,Tharsalea hyllus,Butterflies and Skippers
Bronze Long-Horned Caddisfly,Triaenodes flavescens,Caddisflies
Bronze Pinecone Snail,Strobilops aeneus,Terrestrial Snails
Bronze Tiger Beetle,Cicindela repanda,Tiger Beetles
Brook Floater,Alasmidonta varicosa,Freshwater Mussels
Brook Needlefly,Leuctra sibleyi,Stoneflies
Brook Silverside,Labidesthes sicculus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Brook Snowfly,Allocapnia nivicola,Stoneflies
Brook Springfly,Malirekus hastatus,Stoneflies
Brook Trout,Salvelinus fontinalis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Brown Bark Carpet Moth,Horisme intestinata,Other Moths
Brown Bellytooth,Gastrodonta interna,Terrestrial Snails
Brown Bullhead,Ameiurus nebulosus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Brown Creeper,Certhia americana,Birds
Brown Drake Mayfly,Litobrancha recurvata,Mayflies
Brown Elfin,Callophrys augustinus,Butterflies and Skippers
Brown Flower Moth,Schinia saturata,Other Moths
Brown Gardensnail,Cornu aspersum,Terrestrial Snails
Brown Globelet,Inflectarius kalmianus,Terrestrial Snails
Brown Hive Snail,Euconulus fulvus,Terrestrial Snails
Brown Pelican,Pelecanus occidentalis,Birds
Brown Pine Looper Moth,Caripeta angustiorata,Other Moths
Brown Rat,Rattus norvegicus,Mammals
Brown Small Minnow Mayfly,Baetis brunneicolor,Mayflies
Brown Spiny Crawler Mayfly,Eurylophella funeralis,Mayflies
Brown Spot,Punctum blandianum,Terrestrial Snails
Brown Supercoil,Paravitrea septadens,Terrestrial Snails
Brown Thrasher,Toxostoma rufum,Birds
Brown Trout,Salmo trutta,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Brown Walker,Pomatiopsis cincinnatiensis,Freshwater Snails
Brown Watersnake,Nerodia taxispilota,Reptiles
Brown-Belted Bumble Bee,Bombus griseocollis,Bumble Bees
Brown-Headed Cowbird,Molothrus ater,Birds
Brown-Headed Nuthatch,Sitta pusilla,Birds
